# SCOWL rarity tier for scowl-60: smallest SCOWL size each word appears at (lower = more common; generated by scripts/build_wordlist.py)
accompanies	35
accompaniment	35
accompaniments	35
accompanist	35
accompanists	35
accompany	35
accompanying	35
accomplice	35
accomplices	35
accomplish	35
accomplished	35
accomplishes	35
accomplishing	35
accomplishment	35
accomplishments	35
accord	35
accordance	35
accordant	60
accorded	35
according	35
accordingly	35
accordion	35
accordionist	60
accordionists	60
accordions	35
accords	35
accost	35
accosted	35
accosting	35
accosts	35
account	35
accountability	35
accountable	35
accountancy	35
accountant	35
accountants	35
accounted	35
accounting	35
accounts	35
accouter	60
accoutered	60
accoutering	60
accouterments	50
accouters	60
accredit	50
accreditation	40
accredited	40
accrediting	50
accredits	50
accretion	50
accretions	50
accrual	50
accruals	50
accrue	35
accrued	35
accrues	35
accruing	35
acculturate	60
acculturated	60
acculturates	60
acculturating	60
acculturation	50
accumulate	35
accumulated	35
accumulates	35
accumulating	35
accumulation	35
accumulations	35
accumulative	50
accumulator	50
accumulators	60
accuracies	35
accuracy	35
accurate	35
accurately	35
accurateness	50
accursed	50
accursedness	60
accusation	35
accusations	35
accusative	50
accusatives	50
accusatory	50
accuse	35
accused	35
accuser	35
accusers	35
accuses	35
accusing	35
accusingly	40
accustom	35
accustomed	35
accustoming	35
accustoms	35
ace	35
aced	35
acerbate	60
acerbated	60
acerbates	60
acerbating	60
acerbic	40
acerbically	60
acerbity	50
aces	35
acetaminophen	50
acetate	50
acetates	50
acetic	50
acetone	50
acetonic	60
acetyl	60
acetylene	50
ache	35
ached	35
achene	60
achenes	60
aches	35
achier	40
achiest	40
achievable	35
achieve	35
achieved	35
achievement	35
achievements	35
achiever	40
achievers	40
achieves	35
achieving	35
aching	35
achingly	60
achoo	50
achromatic	50
achy	40
acid	35
acidic	40
acidification	60
acidified	50
acidifies	50
acidify	50
acidifying	50
acidity	35
acidly	50
acidosis	60
acids	35
acidulous	50
acing	35
acknowledge	35
acknowledged	35
acknowledges	35
acknowledging	35
acknowledgment	35
acknowledgments	35
acme	50
acmes	50
acne	35
acolyte	50
acolytes	50
aconite	50
aconites	50
acorn	35
acorns	35
acoustic	35
acoustical	50
acoustically	50
acoustics	35
acquaint	35
acquaintance	35
acquaintances	35
acquaintanceship	60
acquainted	35
acquainting	35
acquaints	35
acquiesce	35
acquiesced	35
acquiescence	35
acquiescent	50
acquiescently	60
acquiesces	35
acquiescing	35
acquirable	50
acquire	35
acquired	35
acquirement	50
acquirer	60
acquirers	60
acquires	35
acquiring	35
acquisition	35
acquisitions	35
acquisitive	50
acquisitively	60
acquisitiveness	50
acquit	35
acquits	35
acquittal	35
acquittals	35
acquitted	35
acquitting	35
acre	35
acreage	35
acreages	35
acres	35
acrid	35
acrider	35
acridest	35
acridity	60
acridly	60
acridness	60
acrimonious	35
acrimoniously	60
acrimoniousness	60
acrimony	35
acrobat	35
acrobatic	35
acrobatically	60
acrobatics	35
acrobats	35
acronym	35
acronyms	35
acrophobia	60
acropolis	60
acropolises	60
across	35
acrostic	50
